"Chapter_Number","Volume","Name","Romanized_title","Viz_title","Pages","Date","Episodes"
265,"29","Pirate Robin vs. Divine Soldiers Commander Yama","Kaizoku Robin Basasu Shinpeicho Yama","Pirate Robin vs. Heavenly Forces Commander Yama","19","February 17, 2003","2003 Issue "
266,"29","Pirate Chopper vs. Priest Ohm","Kaizoku Choppa Basasu Shinkan Omu","Pirate Chopper vs. Vassal Ohm","19","February 24, 2003","2003 Issue "
267,"29","March","Machi","March","17","March 3, 2003","2003 Issue "
268,"29","Suite","Suwito","Suite","19","March 10, 2003","2003 Issue "
269,"29","Concerto","Koncheruto","Concerto","19","March 17, 2003","2003 Issue "
270,"29","Serenade","Serenade","Serenade","19","March 31, 2003","2003 Issue "
271,"29","Pirate Zoro vs. Priest Ohm","Kaizoku Zoro Basasu Shinkan Omu","Pirate Zolo vs. Vassal Ohm","19","April 7, 2003","2003 Issue "
272,"29","Play","Purei","Play","19","April 14, 2003","2003 Issue "
273,"29","Quintet","Kuintetto","Quintet","19","April 21, 2003","2003 Issue "
274,"29","Oratorio","Oratorio","Oratorio","21","April 28, 2003","2003 Issue 22-"
275,"29","Divina Comedia","Dibina Komeidia","Divina Comedia","19","May 12, 2003","2003 Issue "
276,"30","Shandia Rhythm","Shandia Rizumu","Shandian Rhythm","19","May 19, 2003","2003 Issue "
277,"30","Maxim","Makushimu","Maxim","17","May 26, 2003","2003 Issue "
278,"30","Conis","Konisu","Conis","19","June 2, 2003","2003 Issue "
279,"30","Pirate Luffy vs. God Enel","Kaizoku Rufi Basasu Goddo Eneru","Pirate Luffy vs. Kami Eneru","18","June 9, 2003","2003 Issue "
280,"30","Floating","Fujo","Floating","19","June 16, 2003","2003 Issue "
281,"30","Deathpiea","Desupia","Deathpiea","19","June 23, 2003","2003 Issue "
282,"30","Desire","Nozomi","Desire","19","June 30, 2003","2003 Issue "
283,"30","On the Front Line of Rescuing Love","Koi no Kyushutsu Zensen","On the Front Line of Rescuing Love","19","July 7, 2003","2003 Issue "
284,"30","Sorry","Warina","Sorry","19","July 14, 2003","2003 Issue "
285,"30","Capriccio","Kapuritchio","Capriccio","19","July 19, 2003","2003 Issue "
286,"31","The Monster of Shandora","Shandora no Mamono","The Shandoran Demon","17","July 28, 2003","2003 Issue "
287,"31","God Killing","Kamigoroshi","Kami Killing","19","August 11, 2003","2003 Issue 37-"
288,"31","Curse","Tatari","Curse","19","August 25, 2003","2003 Issue "
289,"31","Full Moon","Bogetsu","Full Moon","21","September 1, 2003","2003 Issue "
290,"31","The Light of Shandora","Shandora no Hi","The Light of Shandora","19","September 8, 2003","2003 Issue "
291,"31","I'm Right Here","Koko ni Iru","We'll Be Here","19","September 13, 2003","2003 Issue "
292,"31","To Meet, like the Half-Moon Hidden by Clouds","Afukoto wa Katawaredzuki no Kumogakure","To Meet, like the Half-Moon Hidden by Clouds","19","September 22, 2003","2003 Issue "
293,"31","Bolero","Borero","Bolero","19","September 29, 2003","2003 Issue "
294,"31","Raigo","Raigo","Kingdom Come","19","October 6, 2003","2003 Issue "
295,"31","Giant Jack","Jaianto Jakku","Giant Jack","19","October 11, 2003","2003 Issue "
296,"32","High-Altitude Situation","Saiku Kyokumen","High-Altitude Situation","19","October 20, 2003","2003 Issue "
297,"32","Praises of the Earth","Daichi Sansho","Praise for the Land","19","October 27, 2003","2003 Issue "
298,"32","Love Song","Rabu Songu","Love Song","19","November 1, 2003","2003 Issue "
299,"32","Fantasia","Fantajia","Fantasia","19","November 10, 2003","2003 Issue "
300,"32","Symphony","Shinfoni","Symphony","19","November 22, 2003","2003 Issue "
301,"32","I Was Here","Ware Koko ni Itaru","I Was Here","19","December 1, 2003","2004 Issue"
302,"32","Finale","Finare","Finale","19","December 8, 2003","2004 Issue"
303,"32","Rich Pirates","Kanemochi Kaizoku-dan","Rich Pirates","19","December 15, 2003","2004 Issue"
304,"32","Long Island Adventure","Nagai Shima no Boken","Long Island Adventure","21","December 22, 2003","2004 Issue 4"
305,"32","Foxy the Silver Fox","Gin Gitsune no Fokushi","Foxy the Silver Fox","19","January 5, 2004","2004 Issue 6"
306,"33","Donut Race!!","Donatsu Resu!!","Donut Race!","19","January 19, 2004","2004 Issue"
307,"33","Ready, Donuts!!","Redii Donatsu!!","Ready, Set, Donut!","19","January 26, 2004","2004 Issue"
308,"33","The Grand Interference Plan","Bodai Daisakusen","Obstructive Tactics","19","February 2, 2004","2004 Issue "
309,"33","Groggy Monsters","Gurokki Monsutazu","Groggy Monsters","17","February 9, 2004","2004 Issue "
310,"33","Groggy Ring!!","Gurokki Ringu!!","Groggy Ring!!","19","February 16, 2004","2004 Issue "
311,"33","Rough Game","Rafu Gemu","Rough Game","19","February 23, 2004","2004 Issue "
312,"33","GOAL!!","Goru!!","Goal!!","19","March 1, 2004","2004 Issue "
313,"33","MAIN EVENT","Mein Ibento","Main Event","19","March 8, 2004","2004 Issue "
314,"33","Combat!!!","Konbatto!!!","Combat!!","19","March 15, 2004","2004 Issue "
315,"33","Secret Room","Himitsu no Heya","Secret Room","19","March 22, 2004","2004 Issue "
316,"33","Brother Soul","Buraza Souru","Brother Soul","19","March 29, 2004","2004 Issue "
317,"34","K.O.","Nokku Auto","K.O.","21","April 12, 2004","2004 Issue "
318,"34","Closure","Heikai","Closure","19","April 19, 2004","2004 Issue "
319,"34","Admiral Aokiji of the Marine Headquarters","Kaigun Honbu ""Taisho"" Aokiji","Admiral Aokiji of the Navy Headquarters","19","April 26, 2004","2004 Issue 22-"
320,"34","Ultimate Military Force","Saiko Senryoku","Ultimate Military Force","19","May 10, 2004","2004 Issue "
321,"34","One-on-One","Ikkiuchi","One-on-One","19","May 17, 2004","2004 Issue "
322,"34","Puffing Tom","Paffingu Tomu","Puffing Tom","19","May 24, 2004","2004 Issue "
323,"34","The City of Water, Water 7","""Mizu no Miyako"" Wota Sebun","The City of Water, Water Seven","19","May 31, 2004","2004 Issue "
324,"34","Adventure in the City on the Water","Suijo Toshi no Boken","Adventures in the City of Water","19","June 7, 2004","2004 Issue "
325,"34","The Franky Family","Furanki Ikka","The Franky Family","19","June 14, 2004","2004 Issue "
326,"34","Iceburg-san","Aisubagu-san","Mr. Iceberg","17","June 21, 2004","2004 Issue "
327,"34","Shipyard Island, Construction Dock No. 1","Zosenjima Zosen Kojo Ichi-ban Dokku","Shipbuilding Island, Repair Dock No. 1","21","June 28, 2004","2004 Issue "
328,"35","The Pirate Abduction Incident","Kaizoku Yukai Jiken","The Pirate Abduction Incident","19","July 12, 2004","2004 Issue "
329,"35","My Name Is ""Franky""","Ore no Na wa ""Furanki""","My Name Is Franky","19","July 17, 2004","2004 Issue "
330,"35","It's Decided","Kimeta","It's Decided","17","July 26, 2004","2004 Issue "
331,"35","The Big Argument","Ogenka","The Big Argument","19","August 2, 2004","2004 Issue "
332,"35","Luffy vs. Usopp","Rufi Basasu Usoppu","Luffy vs. Usopp","18","August 9, 2004","2004 Issue 37-"
333,"35","Captain","Kyaputen","Captain","18","August 23, 2004","2004 Issue "
334,"35","Big Trouble in the Secret Room","Misshitsu no Daijiken","Big Trouble in the Secret Room","19","August 30, 2004","2004 Issue "
335,"35","WARNING","Woningu","Warning","19","September 6, 2004","2004 Issue "
336,"35","Luffy vs. Franky","Rufi Basasu Furanki","Luffy vs. Franky","19","September 13, 2004","2004 Issue "
337,"36","Protectors of the City of Water","""Mizu no Miyako"" no Yojinbo","Protectors of the City of Water","19","September 18, 2004","2004 Issue "
338,"36","Coup de Vent","Ku do Van","Coup de Vent","19","September 27, 2004","2004 Issue "
339,"36","Rumors","Uwasa","Rumors","19","October 4, 2004","2004 Issue "
340,"36","The Woman Who Brings Darkness","Yami o Hiku Onna","The Woman Who Brings Darkness","19","October 9, 2004","2004 Issue "
341,"36","Devil","Akuma","Demon","19","October 18, 2004","2004 Issue "
342,"36","The Messengers of Darkness","Yami no Shisha","The Messengers of Darkness","19","October 25, 2004","2004 Issue "
343,"36","Cipher Pol No.9","Saifa Poru Nanba Nain","Cipher Pol No. 9","19","November 1, 2004","2004 Issue "
344,"36","Opposing Force","Teiko Seiryoku","Opposing Force","19","November 8, 2004","2004 Issue "
345,"36","The Concealed","Senpukusha","Sleepers","19","November 15, 2004","2004 Issue "
346,"36","The 9th Justice","Kyu-banme no Seigi","The Ninth Justice","19","November 29, 2004","2004 Issue "
347,"37","Rokushiki","Rokushiki","Six Powers","19","December 6, 2004","2005 Issue"
348,"37","Fighting Power","Sentoryoku","Fighting Power","20","December 13, 2004","2005 Issue"
349,"37","One Citizen","Ichi Shimin","Ordinary Citizens","19","December 20, 2004","2005 Issue 3"
350,"37","The Warehouse Under the Bridge","Hashi no Shita Soko","The Warehouse Under the Bridge","19","January 3, 2005","2005 Issue 5"
351,"37","Klabautermann","Kurabautaman","Klabautermann","19","January 17, 2005","2005 Issue"
352,"37","Tom's Workers","Tomuzu Wakazu","Tom's Workers","19","January 24, 2005","2005 Issue"
353,"37","The Legendary Shipwright","Densetsu no Funadaiku","The Legendary Shipwright","19","January 31, 2005","2005 Issue"
354,"37","Sea Train","Umi Ressha","Sea Train","19","February 7, 2005","2005 Issue "
355,"37","Spandam","Supandamu","Spandam","19","February 14, 2005","2005 Issue "
356,"37","Tom-san","Tomu-san","Mr. Tom","19","February 28, 2005","2005 Issue "
357,"37","Cutty Flam","Kati Furamu","Cutty Flam","21","March 7, 2005","2005 Issue "
358,"38","Revival","Fukkatsu","Reactivation","19","March 14, 2005","2005 Issue "
359,"38","Bingo","Bingo","Bingo","19","March 19, 2005","2005 Issue "
360,"38","Departing Soon","Mamonaku Shukko","Departing Soon","19","March 28, 2005","2005 Issue "
361,"38","P.S.","Tsuishin","P.S.","19","April 4, 2005","2005 Issue "
362,"38","Ebb Tide","Hiki Shio","Ebb Tide","19","April 11, 2005","2005 Issue "
363,"38","Aqua Laguna","Akua Raguna","Aqua Laguna","19","April 18, 2005","2005 Issue "
364,"38","Kokoro","Kokoro","Kokoro","19","April 25, 2005","2005 Issue 21-"
365,"38","Rocketman!!","Rokettoman!!","Rocketman!!","19","May 9, 2005","2005 Issue "
366,"38","Sortie!!","Shutsugeki!!","Sortie!","19","May 16, 2005","2005 Issue "
367,"38","Sogeking","Sogekingu","Sniper King","19","May 23, 2005","2005 Issue "
368,"39","Sea Train Battle Game","Umi Ressha Batoru Gemu","Sea Train Battle Game","19","May 30, 2005","2005 Issue "
369,"39","Ramen Kenpo","Ramen Kenpo","Ramen Kung Fu","19","June 6, 2005","2005 Issue "
370,"39","You're Not Alone","Hitori janai","You're Not Alone","19","June 13, 2005","2005 Issue "
371,"39","The Admirable Captain T Bone","Appare Ti-Bon Taisa","The Honorable Captain T Bone","19","June 20, 2005","2005 Issue "
372,"39","Parage","Paraju","Plastic Surgery","19","June 27, 2005","2005 Issue "
373,"39","Necessary Evil","Hitsuyo Aku","Necessary Evil","19","July 4, 2005","2005 Issue "
374,"39","Scramble","Sodatsusen","Scramble","19","July 16, 2005","2005 Issue "
375,"39","The Superhumans of Enies Lobby","Eniesu Robi no Chojin-tachi","The Supermen of Enies Lobby","19","July 25, 2005","2005 Issue "
376,"39","I Got It!!!","Wakatta!!!","I Got It!!","19","August 1, 2005","2005 Issue "
377,"39","Great Battle on the Judiciary Island!!","Shiho no Shima no Daikessen!!","The Big Showdown on the Judiciary Island","19","August 8, 2005","2005 Issue 36-"
378,"40","Damage Report","Higai Jokyo","Casualties","19","August 22, 2005","2005 Issue "
379,"40","Doriki","Doriki","Power Level","19","August 29, 2005","2005 Issue "
380,"40","Enies Lobby Main Island Express","Eniesu Robi Hontoyuki Ekusupuresu","Enies Lobby Main Island Express","19","September 5, 2005","2005 Issue "
381,"40","Fired","Kubi","Fired","18","September 12, 2005","2005 Issue "
382,"40","Demon Lair","Oni no Kakure-ga","Demon Lair","19","September 17, 2005","2005 Issue "
383,"40","Luffy vs Blueno","Rufi Basasu Buruno","Luffy vs. Blueno","19","September 26, 2005","2005 Issue "
384,"40","Signal the Counterattack","Hangeki no Noroshi o Agero","Signal the Counterattack","19","October 3, 2005","2005 Issue "
385,"40","There Is a Way","Michi wa Aru","There Is a Way","19","October 8, 2005","2005 Issue "
386,"40","Unprecedented","Zendai Mimon","Unprecedented","15","October 17, 2005","2005 Issue "
387,"40","Gear","Gia","Gear","19","October 31, 2005","2005 Issue "
388,"40","Gear 2","Gia Sekando","Gear Two","19","November 7, 2005","2005 Issue "
389,"41","Response","Oto","Response","19","November 14, 2005","2005 Issue "
390,"41","Accepting the Challenge","Osen","Accepting the Challenge","19","November 21, 2005","2005 Issue "
391,"41","The Girl Called a Devil","Akuma to Yobareta Shojo","The Girl They Called a Demon","19","November 28, 2005","2005 Issue "
392,"41","Dereshi","Dereshi","Dereshi","19","December 12, 2005","2006 Issue"
393,"41","Olvia","Orubia","Olvia","19","December 19, 2005","2006 Issue"
394,"41","The Demons of Ohara","Ohara no Akuma-tachi","The Demons of Ohara","19","December 26, 2005","2006 Issue 4"
395,"41","Ohara vs. the World Government","Ohara Basasu Sekai Seifu","Ohara vs. the World Government","19","January 7, 2006","2006 Issue 6"
396,"41","Saul","Sauro","Saul","19","January 23, 2006","2006 Issue"
397,"41","In Hopes of Reaching the Future","Mirai-e Todoku youni","In Hopes of Reaching the Future","19","January 30, 2006","2006 Issue"
398,"41","Declaration of War","Sensen Fukoku","Declaration of War","19","February 6, 2006","2006 Issue "
399,"41","Jump Toward the Waterfall!!","Taki ni Mukatte Tobe!!","Jump Toward the Waterfall!!","19","February 13, 2006","2006 Issue "
400,"42","The Key to Freedom","Kaiho no Kagi","The Key to Freedom","19","February 20, 2006","2006 Issue "
401,"42","Pirates vs CP9","Kaizoku Basasu Shi Pi Nain","Pirates vs. CP9","19","February 27, 2006","2006 Issue "
402,"42","Handcuffs No. 2","Ni-ban no Tejo","Handcuffs No. 2","19","March 6, 2006","2006 Issue "
403,"42","Mr. Chivalry","Misuta Kishido","Mr. Chivalry","19","March 13, 2006","2006 Issue "
404,"42","Franky vs Fukurou","Furanki Basasu Fukurô","Franky vs. Fukurou","19","March 20, 2006","2006 Issue "
405,"42","Power","Pawa","Power","19","March 27, 2006","2006 Issue "
406,"42","Seimei Kikan","Seimei Kikan","Life Return","19","April 10, 2006","2006 Issue "
407,"42","Monster","Monsuta","Monster","19","April 17, 2006","2006 Issue "
408,"42","Monster vs Kumadori","Monsuta Basasu Kumadori","Monster vs. Kumadori","19","April 24, 2006","2006 Issue 21-"
409,"42","Emergency Bad News Broadcast","Kyoho Kinkyu Daihoso","The Terrifying Broadcast","19","May 8, 2006","2006 Issue "
410,"43","Super-Size Nami","Nami Kyodaika","Super-Size Nami","19","May 15, 2006","2006 Issue "
411,"43","Nami vs Kalifa","Nami Basasu Karifa","Nami vs. Kalifa","19","May 22, 2006","2006 Issue "
412,"43","You Missed Your Chance","Chansu wa Owatta","You Missed Your Chance","19","May 29, 2006","2006 Issue "
413,"43","Hunter","Kariudo","Hunter","19","June 5, 2006","2006 Issue "
414,"43","Sanji vs Jabra","Sanji Basasu Jabura","Sanji vs. Jabra","19","June 12, 2006","2006 Issue "
415,"43","Heat Up","Hito Appu","Heat Up","19","June 19, 2006","2006 Issue "
416,"43","Zoro vs Kaku","Zoro Basasu Kaku","Zolo vs. Kaku","19","June 26, 2006","2006 Issue "
417,"43","Asura","Ashura","Asura","19","July 3, 2006","2006 Issue "
418,"43","Luffy vs. Rob Lucci","Rufi Basasu Robu Rucchi","Luffy vs. Rob Lucci","19","July 10, 2006","2006 Issue "
419,"43","Legend of a Hero","Eiyu Densetsu","Legend of a Hero","19","July 15, 2006","2006 Issue "
420,"44","Buster Call","Basuta Koru","Buster Call","19","July 24, 2006","2006 Issue "
421,"44","Gear 3","Gia Sado","Gear Three","19","July 31, 2006","2006 Issue "
422,"44","Rob Lucci","Robu Rucchi","Rob Lucci","19","August 7, 2006","2006 Issue 36-"
423,"44","Mermaid Legend","Ningyo Densetsu","Mermaid Legend","19","August 21, 2006","2006 Issue "
424,"44","Escape Ship","Dasshutsu-sen","Escape Ship","19","August 28, 2006","2006 Issue "
425,"44","Bridge of Mortal Combat","Shito no Hashi","Bridge of Mortal Combat","19","September 4, 2006","2006 Issue "
426,"44","A Ship Waiting for Wind","Kazamachi no Fune","A Ship Waiting for Wind","19","September 11, 2006","2006 Issue "
427,"44","It's Not Like it's Hell Here","Koko ga Jigoku ja Arumeshi","This Isn't the Afterlife","19","September 16, 2006","2006 Issue "
428,"44","Let's Go Back","Kaero","Let's Go Back","19","September 25, 2006","2006 Issue "
429,"44","Utter Defeat","Kanpai","Utter Defeat","19","October 2, 2006","2006 Issue "
430,"44","A Light Snow of Reminiscence Falls","Furisosogu Tsuiso no Awayuki","A Light Snow of Reminiscence Falls","19","October 7, 2006","2006 Issue "
431,"45","Fist of Love","Ai no Kobushi","Fist of Love","19","October 23, 2006","2006 Issue "
432,"45","Jack-in-the-Box","Bikkuri Bako","Jack-in-the-Box","19","October 30, 2006","2006 Issue "
433,"45","The Name of That Sea is","Sono Umi no Na wa","The Name of That Sea","19","November 6, 2006","2006 Issue "
434,"45","Whitebeard and Red Hair","Shirohige to Akagami","Whitebeard and Red-Hair","19","November 13, 2006","2006 Issue "
435,"45","You Have My Sympathies","Shinchu Osasshisuru","You Have My Sympathies","19","November 20, 2006","2006 Issue "
436,"45","Pants from Franky House","Pantsu Furomu Furankihausu","Trunks from Franky-House","19","December 4, 2006","2007 Issue"
437,"45","Naked But Great","Hadaka Hyakkan","Naked Mania","19","December 11, 2006","2007 Issue"
438,"45","Pride","Puraido","Pride","19","December 18, 2006","2007 Issue"
439,"45","The Third and the Seventh","Sanninme to Nananinme","Third and Seventh","19","December 25, 2006","2007 Issue 4"
440,"45","Fire Fist vs Blackbeard","Hiken Basasu Kurohige","Fire Fist vs. Blackbeard","19","January 6, 2007","2007 Issue 6"
441,"46","Duel on Banaro Island","Banaro-to no Ketto","Duel on Banaro Island","19","January 22, 2007","2007 Issue"
442,"46","Adventure in the Demonic Sea","Ma no Umi no Boken","Adventure in the Demonic Sea","19","January 29, 2007","2007 Issue"
443,"46","Thriller Bark","Surira Baku","Thriller Bark","19","February 5, 2007","2007 Issue "
444,"46","Adventure on Ghost Island","Gosuto Airando no Boken","Adventure on Ghost Island","19","February 10, 2007","2007 Issue "
445,"46","The Zombie","Za Zonbi","Zombies","19","February 19, 2007","2007 Issue "
446,"46","Doctor Hogback","Dokutoru Hogubakku","Doctor Hogback","19","February 26, 2007","2007 Issue "
447,"46","Surprise Zombie","Bikkuri Zonbi","Zombie-in-the-Box","19","March 5, 2007","2007 Issue "
448,"46","Moria","Moria","Moria","19","March 12, 2007","2007 Issue "
449,"46","The Mysterious Four of Thriller Bark","Surira Baku no Yonkaijin","The Four Monsters of Thriller Bark","19","March 26, 2007","2007 Issue "
450,"47","General Zombie Night","Jeneraru Zonbi Naito","Night of the General Zombies","19","April 2, 2007","2007 Issue "
451,"47","Perona's Wonder Garden","Perona no Wanda Gaden","Perona's Wonder Garden","19","April 9, 2007","2007 Issue "
452,"47","Jigor<U+03BF> of the Wind","Kaze no Jigoro","Jigoro of the Wind","19","April 16, 2007","2007 Issue "
453,"47","Cloudy, Partly Bony","Kumori Tokidoki Hone","Cloudy, Partly Bony","19","April 23, 2007","2007 Issue "
454,"47","Humming","Hanauta","The Humming Swordsman","19","April 28, 2007","2007 Issue 22-"
455,"47","Gecko Moria of the Seven Warlords of the Sea","Oka Shichibukai Gekko Moria","Gecko Moria of the Seven Warlords of the Sea","19","May 14, 2007","2007 Issue "
456,"47","Demon from the Land of Ice","Kori no Kuni kara Kita Majin","Demon from the Land of Ice","19","May 21, 2007","2007 Issue "
457,"47","Meeeeat!!!","Niku~~!!!","Meat!!!","17","May 28, 2007","2007 Issue "
458,"47","Anything but My Afro","Afuro dake wa","Anything but My Afro","19","June 4, 2007","2007 Issue "
459,"47","Being Dead Isn't an Apology","Shin de Gomen ja nai Desho ni","I Can't Just Die Hoping to be Forgiven","19","June 11, 2007","2007 Issue "
460,"48","Get Back Before Dawn!!","Yoake Mae ni Torikaese!!","Conquest Before Dawn!!","19","June 25, 2007","2007 Issue "
461,"48","Ghost Buster","Gosuto Basuta","Ghost Buster","19","July 2, 2007","2007 Issue "
462,"48","Adventures of Oars","Ozu no Boken","Adventures of Oars","19","July 9, 2007","2007 Issue "
463,"48","Pirate Sanji vs Mysterious Absalom","Kaizoku Sanji Basasu Kaijin Abusaromu","Pirate Sanji vs. Mystery Man Absalom","19","July 14, 2007","2007 Issue "
464,"48","Sanji's Dream","Sanji no Yume","Sanji's Dream","19","July 23, 2007","2007 Issue "
465,"48","Pirate Usopp vs Princess Perona","Kaizoku Usoppu Basasu Purinsesu Perona","Pirate Usopp vs. Mystery Woman Perona","19","July 30, 2007","2007 Issue "
466,"48","Conclusion","Kecchaku","Conclusion","19","August 6, 2007","2007 Issue 36-"
467,"48","Pirate Zoro vs Samurai Ryuma","Kaizoku Zoro Basasu Samurai Ryuma","Pirate Zolo vs. Samurai Ryuma","19","August 20, 2007","2007 Issue "
468,"48","Pirate Chopper vs Mysterious Hogback","Kaizoku Choppa Basasu Kaijin Hogubakku","Pirate Chopper vs. Mystery Man Hogback","19","August 27, 2007","2007 Issue "
469,"48","Come Out Here, Straw Hat Pirates!!!","Dete Koi Mugiwara no Ichimi!!!","Come Out Here, Straw Hat Pirates!","19","September 3, 2007","2007 Issue "
470,"48","Oars vs. Straw Hat Pirates","Ozu Basasu Mugiwara no Ichimi","Oars vs. Straw Hat Pirates","19","September 10, 2007","2007 Issue "
471,"49","My Friend","Mai Furendo","My Friend","19","September 22, 2007","2007 Issue "
472,"49","Down","Daun","Down","19","October 1, 2007","2007 Issue "
473,"49","Warlord Bartholomew Kuma Appears","Oka Shichibukai Basoromyu Kuma Arawaru","Warlord Bartholomew Kuma Appears","19","October 6, 2007","2007 Issue "
474,"49","We Have To Do It!","Yarushikane!!!","We Have To Do It!","19","October 15, 2007","2007 Issue "
475,"49","Pirates of the Forest","Mori no Kaizoku-Dan","Pirates of the Forest","19","October 22, 2007","2007 Issue "
476,"49","Nightmare Luffy","Naitomea Rufi","Nightmare Luffy","19","October 29, 2007","2007 Issue "
477,"49","<U+215C>","<U+215C>","<U+215C>","19","November 5, 2007","2007 Issue "
478,"49","Luffy vs. Luffy","Rufi Basasu Rufi","Luffy vs Luffy","19","November 12, 2007","2007 Issue "
479,"49","Warrior of Hope","Kibo no Senshi","Warrior Of Hope","19","November 19, 2007","2007 Issue "
480,"49","Interception","Geigeki","Interception","19","December 3, 2007","2008 Issue"
481,"49","Shadow's Asgard","Shadozu Asugarudo","Shadows Asgard","19","December 10, 2007","2008 Issue"
482,"50","Morning Is Coming","Asa ga Kuru","Morning Is Coming","19","December 17, 2007","2008 Issue"
483,"50","The End of The Dream","Yume no Owari","The End of The Dream","19","December 25, 2007","2008 Issue 4"
484,"50","Squish","Puni","Squish","19","January 4, 2008","2008 Issue 6"
485,"50","Straw Hat Pirates - Pirate Hunter Zoro","Mugiwara no Ichimi - Kaizoku-Gari no Zoro","Straw Hat Pirates - Pirate Hunter Zolo","19","January 21, 2008","2008 Issue"
486,"50","Piano","Piano","Piano","19","January 28, 2008","2008 Issue"
487,"50","That Song","Ano Uta","That Song","19","February 4, 2008","2008 Issue "
488,"50","Song of Life","Inochi no Uta","Song of Love","19","February 9, 2008","2008 Issue "
489,"50","The Eighth","Hachininme","Eighth Person","19","February 25, 2008","2008 Issue "
490,"50","Arriving Again","Futatabi Tadoritsuku","Arriving Again","19","March 3, 2008","2008 Issue "
491,"50","Flying Fish Riders","Tobiuo Raidazu","Flying Fish Riders","19","March 10, 2008","2008 Issue "
492,"51","Iron Mask Duval","Tetsu Kamen no Dyubaru","Iron Mask Duval","19","March 17, 2008","2008 Issue "
493,"51","You Know Me","Shitteru","You Know Me","19","March 24, 2008","2008 Issue "
494,"51","Duval's Tragedy","Dyubaru no Higeki","Duval's Tragedy","19","March 31, 2008","2008 Issue "
495,"51","Gaon Cannon","Gaon Ho","Gaon Cannon","19","April 7, 2008","2008 Issue "
496,"51","Yarukiman Mangrove","Yarukiman Mangurobu","Yarukiman Mangrove","19","April 14, 2008","2008 Issue "
497,"51","Adventure on the Archipelago of Dancing Soap Bubbles","Shabon Mau Shoto no Boken","Adventure on the Archipelago of Dancing Soap Bubbles","19","April 21, 2008","2008 Issue "
498,"51","The Eleven Supernovas","Juichinin no Choshinsei","The Eleven Supernovas","19","April 28, 2008","2008 Issue 22-"
499,"51","Sabaody Park","Shabondi Paku","Sabaody Park","19","May 19, 2008","2008 Issue "
500,"51","The Embers of History","Rekishi no Nokoribi","The Embers of History","19","May 26, 2008","2008 Issue "
501,"51","The World Begins to Swell","Uneri Hajimeru Sekai","The World Begins to Swell","19","June 2, 2008","2008 Issue "
502,"51","The Incident of the Celestial Dragons","Tenryubito no Ikken","The Incident of the Celestial Dragons","19","June 9, 2008","2008 Issue "
503,"52","Aggravated Island","Aradatsu Shima","Aggravated Island","19","June 16, 2008","2008 Issue "
504,"52","Pirate Front Line on the Move!!","Kaizoku Zensen Idochu!!","Pirate Front Line on the Move!!","19","June 23, 2008","2008 Issue "
505,"52","Kuma","Kuma","Kuma","19","June 30, 2008","2008 Issue "
506,"52","Roger and Rayleigh","Roja to Reiri","Roger and Rayleigh","19","July 7, 2008","2008 Issue "
507,"52","Kizaru Arrives","Kizaru Joriku","Kizaru Arrives","19","July 19, 2008","2008 Issue "
508,"52","Island of Carnage","Shura no Shima","Island of Carnage","19","July 28, 2008","2008 Issue "
509,"52","Kizaru vs. Four Captains","Kizaru Basasu Yonin no Sencho","Kizaru vs. Four Captains","19","August 4, 2008","2008 Issue "
510,"52","Straw Hat Crew vs. Combat Weapon","Mugiwara no Ichimi Basasu Sento Heiki","Straw Hat Pirates vs. War Machine","19","August 11, 2008","2008 Issue 37-"
511,"52","Axe-Carrying Sentomaru","Masakari Katsuida Sentomaru","Axe-Carrying Sentomaru","19","August 25, 2008","2008 Issue "
512,"52","Zoro, Gone","Zoro, Otosata nashi","Zolo, Gone","19","September 1, 2008","2008 Issue "
513,"53","Beyond Rescue!!!","Sukuenai!!!","Beyond Rescue!!!","19","September 8, 2008","2008 Issue "
514,"53","Mushrooms-Grow-From-the-Body Mushroom","Karada-kara-Kinoko-ga-Haeru Dake","Body Parasite Mushrooms","19","September 13, 2008","2008 Issue "
515,"53","Adventure on the Island of Women","Nyogashima no Boken","Adventure on the Island of Women","19","September 22, 2008","2008 Issue "
516,"53","Pirate Empress Boa Hancock","Kaizoku Jotei Boa Hankokku","Pirate Empress Boa Hancock","17","September 29, 2008","2008 Issue "
517,"53","Bathing","Yuami","Bath Time","19","October 6, 2008","2008 Issue "
518,"53","The Arena","Togidai","Coliseum","19","October 11, 2008","2008 Issue "
519,"53","A King's Disposition","O no Shishitsu","Natural Born King","19","October 27, 2008","2008 Issue "
520,"53","Eye of the Gorgon","Gorugon no Me","Eye of the Gorgon","19","November 1, 2008","2008 Issue "
521,"53","Hoof of the Celestial Dragon","Amakakeru Ryu no Hizume","Hoof of the Celestial Dragon","19","November 10, 2008","2008 Issue "
522,"53","Fatal Illness","Shi ni Itaru Yamai","Fatal Illness","19","November 17, 2008","2008 Issue "
523,"54","Hell","Jigoku","Hell","19","November 22, 2008","2008 Issue "
524,"54","No One Can Stop This Now","Mo Darenimo Tomerarenai","Unstoppable","19","December 1, 2008","2009 Issue"
525,"54","The Underwater Prison Impel Down","Kaitei Kangoku Inperu Daun","The Underwater Prison Impel Down","19","December 8, 2008","2009 Issue"
526,"54","Adventure in the Great Prison","Daikangoku no Boken","Adventure in the Great Prison","19","December 22, 2008","2009 Issue 4"
